P11.1	P11.2	P11.3	P11.4	P11.5	P13.1	P13.2	P13.3	P13.4	P13.5	P14.1	P14.2	P14.3	P14.4	P14.5	P14.6	P15.1	P15.2	P15.3	P15.4	P15.5	P20.1	P20.2	P20.3	P20.4	P20.5	P20.6	P29.1	P29.2	P29.3	P29.5	
k__Viridiplantae|p__Streptophyta|o__Apiales|f__Apiaceae	1.621589245	0.809051126	0.563486101	0.637676404	1.080565978	1.514027504	1.24793912	1.811540037	1.273710881	1.323646771	1.694774689	0.707698906	1.834415158	1.207365367	1.600733205	1.660764335	1.402572647	1.918084512	1.660704577	1.736088406	0.716444062	1.489964487	1.153749686	1.272541429	1.153472453	1.465452635	1.448349675	1.627805475	1.01342399	1.191005588	1.795033765
k__Viridiplantae|p__Streptophyta|o__Apiales|f__Apiaceae|g__Daucus	1.621589245	0.809051126	0.563486101	0.637676404	1.080565978	1.514027504	1.24793912	1.811540037	1.273710881	1.323646771	1.694774689	0.707698906	1.834415158	1.207365367	1.600733205	1.660764335	1.402572647	1.918084512	1.660704577	1.736088406	0.716444062	1.489964487	1.153749686	1.272541429	1.153472453	1.465452635	1.448349675	1.627805475	1.01342399	1.191005588	1.795033765
k__Viridiplantae|p__Streptophyta|o__Apiales|f__Apiaceae|g__Daucus|s__Daucus_carota	1.621589245	0.809051126	0.563486101	0.637676404	1.080565978	1.514027504	1.24793912	1.811540037	1.273710881	1.323646771	1.694774689	0.707698906	1.834415158	1.207365367	1.600733205	1.660764335	1.402572647	1.918084512	1.660704577	1.736088406	0.716444062	1.489964487	1.153749686	1.272541429	1.153472453	1.465452635	1.448349675	1.627805475	1.01342399	1.191005588	1.795033765
k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita	1.40976983	1.545522468	0.325569747	1.304240833	1.063549191	1.725371501	0.729653004	2.231437727	1.253167157	0.663199318	2.231404555	0.364572164	1.510805125	0.803693633	1.39948986	0.935349845	1.242639653	1.505711319	2.017516207	1.000049042	0.449912022	1.368261442	0.7566257	0.846650548	0.772712592	0.770284356	1.747686784	1.448918997	1.112310387	0.615804025	1.427679767
k__Viridiplantae|p__Streptophyta|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita|s__Cucurbita_pepo	1.40976983	1.545522468	0.325569747	1.304240833	1.063549191	1.725371501	0.729653004	2.231437727	1.253167157	0.663199318	2.231404555	0.364572164	1.510805125	0.803693633	1.39948986	0.935349845	1.242639653	1.505711319	2.017516207	1.000049042	0.449912022	1.368261442	0.7566257	0.846650548	0.772712592	0.770284356	1.747686784	1.448918997	1.112310387	0.615804025	1.427679767
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cicer	0.702979085	0.565695378	0.826446281	0.790854265	2.019892624	1.005285248	1.475729066	0.720196039	1.169280285	1.678637277	0.700058054	1.093716492	0.730841199	1.128893918	1.141752902	1.914688204	1.071514959	0.613068136	0.663368101	0.919129667	1.591025517	0.75854914	2.242008751	1.693506344	2.148693907	1.576748473	0.651498412	0.798534483	1.146565152	1.640210617	0.668907639
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cicer|s__Cicer_arietinum	0.702979085	0.565695378	0.826446281	0.790854265	2.019892624	1.005285248	1.475729066	0.720196039	1.169280285	1.678637277	0.700058054	1.093716492	0.730841199	1.128893918	1.141752902	1.914688204	1.071514959	0.613068136	0.663368101	0.919129667	1.591025517	0.75854914	2.242008751	1.693506344	2.148693907	1.576748473	0.651498412	0.798534483	1.146565152	1.640210617	0.668907639
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cajanus	0.660506297	0.520866688	0.926621588	0.711144715	1.705082063	1.030343195	1.535449277	0.666896332	1.31993426	1.700652192	0.61468512	1.308170706	0.695592829	1.493147435	0.989971777	1.836718385	1.107256192	0.630541577	0.700374173	1.096089714	3.984616869	0.646422729	0.525318396	1.285266844	1.798208736	1.364666156	0.539635409	0.640548831	1.100030377	2.346886822	0.567387087
k__Viridiplantae|p__Streptophyta|o__Fabales|f__Fabaceae|g__Cajanus|s__Cajanus_cajan	0.660506297	0.520866688	0.926621588	0.711144715	1.705082063	1.030343195	1.535449277	0.666896332	1.31993426	1.700652192	0.61468512	1.308170706	0.695592829	1.493147435	0.989971777	1.836718385	1.107256192	0.630541577	0.700374173	1.096089714	3.984616869	0.646422729	0.525318396	1.285266844	1.798208736	1.364666156	0.539635409	0.640548831	1.100030377	2.346886822	0.567387087
k__Viridiplantae|p__Streptophyta|o__Gentianales	0.718225727	0.597715871	1.177059855	0.876180932	1.985008211	1.199484334	1.935361403	0.791045649	1.295966582	1.252098297	0.757135958	1.158052756	0.737590886	2.558169243	1.235585642	2.035134655	1.13649902	0.739875389	0.726872347	1.11325443	2.0246041	0.69031563	0.515564473	1.290603308	1.913980771	1.464418927	0.56035078	0.714931181	0.919708124	1.845800867	0.644467506
k__Viridiplantae|p__Streptophyta|o__Gentianales|f__Rubiaceae	0.718225727	0.597715871	1.177059855	0.876180932	1.985008211	1.199484334	1.935361403	0.791045649	1.295966582	1.252098297	0.757135958	1.158052756	0.737590886	2.558169243	1.235585642	2.035134655	1.13649902	0.739875389	0.726872347	1.11325443	2.0246041	0.69031563	0.515564473	1.290603308	1.913980771	1.464418927	0.56035078	0.714931181	0.919708124	1.845800867	0.644467506
k__Viridiplantae|p__Streptophyta|o__Gentianales|f__Rubiaceae|g__Coffea	0.718225727	0.597715871	1.177059855	0.876180932	1.985008211	1.199484334	1.935361403	0.791045649	1.295966582	1.252098297	0.757135958	1.158052756	0.737590886	2.558169243	1.235585642	2.035134655	1.13649902	0.739875389	0.726872347	1.11325443	2.0246041	0.69031563	0.515564473	1.290603308	1.913980771	1.464418927	0.56035078	0.714931181	0.919708124	1.845800867	0.644467506
k__Viridiplantae|p__Streptophyta|o__Brassicales|f__Brassicaceae|g__Brassica|s__Brassica_oleracea	1.989142213	4.450848543	0.363135487	0.772130545	0.367562601	1.534799223	0.659481757	1.829739936	1.05800178	0.646688131	2.117736593	0.3002359	2.000157493	0.513166779	1.860167396	0.340245025	1.413764346	2.08632878	1.986449382	1.747122867	0.377153972	2.497107059	2.065044729	1.433251097	0.51136582	1.124501451	3.30168485	1.606289919	1.021826102	0.33835386	1.99995488
k__Viridiplantae|p__Streptophyta|o__Caryophyllales	1.53119844	0.988365888	1.289757075	0.753050183	1.495775583	1.678552706	1.510708047	0.497247265	1.434636718	1.301631856	0.462477376	0.557580956	0.482227697	1.367593116	1.573577476	1.275738859	1.450588647	1.57959901	1.31851263	1.688681096	2.285196707	1.40377479	1.645626062	1.3066127	1.324467142	1.296958316	1.382751001	1.662230364	1.081287204	1.786508382	1.964234685
k__Viridiplantae|p__Streptophyta|o__Caryophyllales|f__Chenopodiaceae	1.53119844	0.988365888	1.289757075	0.753050183	1.495775583	1.678552706	1.510708047	0.497247265	1.434636718	1.301631856	0.462477376	0.557580956	0.482227697	1.367593116	1.573577476	1.275738859	1.450588647	1.57959901	1.31851263	1.688681096	2.285196707	1.40377479	1.645626062	1.3066127	1.324467142	1.296958316	1.382751001	1.662230364	1.081287204	1.786508382	1.964234685
