	G12Plate.2	D2Plate.2	H1Plate.2	B11Plate.2	A10Plate.1	H2Plate.2	D4Plate.2	B8Plate.2	B7Plate.2	E9Plate.2	A12Plate.2	E10Plate.2	C3Plate.3	F7Plate.2	G10Plate.2	H3Plate.2	G11Plate.2	B9Plate.2	G6Plate.3	F1Plate.3	G8Plate.3	C1Plate.3	A5Plate.3	G7Plate.3	G5Plate.3	F3Plate.3	E1Plate.3	F8Plate.3	F4Plate.3	F2Plate.3	D5Plate.4	F11Plate.3	E2Plate.3	F9Plate.3	E10Plate.3	B1Plate.3	E4Plate.4	D9Plate.4	A7Plate.4	H6Plate.4	B7Plate.7	B5Plate.4	B7Plate.4	B4Plate.4	H5Plate.4	B3Plate.4	D11Plate.4	E1Plate.4	A8Plate.4	G1Plate.4	A2Plate.7	B2Plate.7	E2Plate.1	A4Plate.7	B3Plate.7	F1Plate.1	F2Plate.1	F12Plate.1	G1Plate.1	B1Plate.2	A7Plate.1	B12Plate.2	F1Plate.2	B10Plate.2	D1Plate.2	C6Plate.4	C7Plate.4	G5Plate.2	E6Plate.3	A8Plate.2	G4Plate.2	C2Plate.2	C1Plate.2	A9Plate.2	D11Plate.2	H7Plate.2	D11Plate.3	D12Plate.4	D8Plate.1	A11Plate.7	B12Plate.7	A5Plate.1	H8Plate.2	F10Plate.2	A9Plate.4	F6Plate.4	C7Plate.7	C4Plate.1	A10Plate.4	D9Plate.1	F2Plate.2	A8Plate.1
6-Hydroxy-1H-indole-3-acetamide	-0.040024	0.39	1.0393	0.50025	-0.12075	0.43406	0.26438	1.4642	0.56218	0.8845	1.1053	-0.083732	0.16895	1.8067	1.2144	1.1604	0.62499	0.89139	0.55199	-0.044846	-0.31604	-0.22905	0.63692	0.78126	0.60392	1.567	1.4822	-0.41675	0.82607	0.064806	-0.20684	0.18831	0.57134	0.10007	0.86486	1.2682	1.6444	0.35446	0.64923	0.23403	0.19805	-0.086958	0.40744	0.22224	0.090649	0.45296	-0.16976	-0.26873	0.25692	0.46961	3.1809	1.0545	0.94736	0.72627	-0.24223	0.3366	0.3651	0.17316	0.12107	0.26875	0.22443	0.42942	0.051205	1.1453	0.24412	0.60575	0.8112	0.21508	0.58251	0.44657	0.43899	0.50121	-0.29335	-0.13317	0.14359	0.13293	0.60327	-0.067157	0.036013	0.32316	0.16887	0.0055734	0.94079	-0.0081838	-0.014042	0.67314	0.63379	-0.12713	-0.10285	0.35281	0.71514	-0.07552
3-Hydroxysuberic_acid	-0.17428	1.4578	1.4315	1.1693	0.43128	0.71129	0.75662	3.1354	0.94937	0.15975	1.2014	0.31122	0.38536	1.3773	2.7856	2.5006	0.49272	0.046163	1.3032	-0.25923	0.030514	0.08101	1.0315	1.0942	0.65998	2.1678	2.7439	-0.6889	1.2446	0.38399	-0.21272	0.2142	0.8492	0.097232	2.1176	1.5155	2.46	0.80167	1.8964	0.27011	1.0308	-0.059811	0.17017	0.53976	-0.067721	1.3109	0.17319	-0.28268	0.20223	1.4698	6.7027	1.7533	-0.10121	0.41765	0.28414	0.90014	0.44671	-0.14379	-0.069561	0.45931	0.27533	0.43194	0.23439	0.22894	0.44649	-0.26544	0.7313	0.2109	1.2418	1.2081	0.6549	0.75727	-0.30097	0.066552	0.31228	-0.033875	2.7887	-0.0056745	0.60258	0.39771	1.034	0.15259	1.1319	0.90568	-0.021347	0.024144	0.24877	0.41925	0.6655	0.28965	0.70349	0.28888
5-Methoxytryptamine	-0.22715	0.44167	0.98674	0.19371	1.1613	-0.27947	1.2906	1.5755	1.016	0.36996	0.94134	2.5981	1.4475	0.65436	1.5094	3.4425	1.7875	0.13713	0.55199	-0.49247	-0.72055	-0.26155	2.2177	2.3614	0.64294	1.0421	2.6204	1.0394	-0.20456	0.19239	-0.27981	1.8179	1.7977	1.4978	0.86917	0.75442	2.3143	2.7314	1.752	0.95566	0.30142	0.22335	0.58119	1.143	1.4296	3.8976	2.139	-0.28874	-0.42017	0.8012	0.83334	0.42637	-0.078637	1.051	1.0599	1.1064	0.74619	-0.37378	-0.15067	1.2911	8.0364	4.2335	3.0457	1.6146	5.0532	4.4958	1.8808	1.2547	0.12777	1.3128	1.3301	1.3468	-0.37006	0.36452	-0.48329	-0.2012	0.056374	0.15037	4.5777	0.90665	4.1071	0.93359	1.0476	-0.12889	1.6435	-0.44137	0.71257	2.5265	0.9609	0.3244	0.64876	0.23247
Acetyl-Met	-0.26866	0.58064	0.90149	0.12962	0.86183	-0.63956	1.72	1.2733	1.4764	1.6432	1.2244	3.7834	1.8052	1.3008	1.7317	2.8453	2.2488	1.2791	1.3032	-0.14651	-0.43115	0.0043051	4.0216	4.3715	1.7105	1.3824	2.7527	0.8518	-0.054644	-0.092128	-0.24583	1.656	2.0103	1.009	0.6672	0.85308	2.4265	2.3778	1.2884	1.4539	0.21009	0.1325	0.70528	3.3212	0.30778	2.8057	2.785	-0.23732	-0.2841	0.67425	0.84047	1.4401	0.82852	0.71781	0.90972	1.365	1.2057	-0.3987	-0.13672	0.86848	4.436	1.8752	2.7078	1.4084	2.9671	2.6389	2.2169	1.1925	0.31799	1.488	1.2052	1.3971	-0.38016	0.59049	-0.32279	-0.11974	-0.0055178	0.13775	5.0601	0.7456	2.9036	1.0022	0.64388	-0.13976	0.36761	-0.40943	0.55822	1.2599	1.2633	0.4564	1.1069	0.45022
4-Hydroxycitrulline	-0.17428	1.0224	0.88168	0.24313	1.2087	0.31405	0.9414	2.1108	1.7541	0.36996	1.0508	2.5641	1.4052	0.84445	2.0107	6.4064	1.8262	1.0947	1.3032	-0.38092	-0.64748	-0.41461	2.3243	1.7418	0.7986	1.4975	3.515	0.99067	-0.31846	0.17725	-0.26985	2.1558	1.7261	1.3724	0.81818	1.0578	2.2549	3.1308	2.1131	1.2534	0.45199	0.35788	0.45184	1.0764	0.80109	3.5397	2.5361	-0.29888	-0.55174	1.7479	1.0158	1.0736	0.0072089	2.1288	1.4398	1.3338	1.2958	-0.38847	-0.17742	1.6653	8.0364	3.7642	3.9286	2.1153	5.0702	5.0588	2.3084	1.0525	0.11243	1.7137	1.9859	1.3604	-0.3744	0.73214	-0.58945	-0.25589	0.029936	0.14157	6.9102	0.94514	4.7327	1.5487	1.6288	-0.1577	1.2998	-0.41758	0.81806	2.8604	1.3366	0.24601	1.1939	0.43435
5-Methoxytryptophol	-0.4113	-0.0011854	0.86098	0.33292	-0.48112	2.329	0.3594	0.26114	0.60332	1.6432	-0.33245	-0.08174	-0.069785	0.13656	0.90947	0.62514	0.046826	-0.21578	1.3032	0.18927	-0.32546	0.31225	0.075843	0.29153	-0.45696	1.7122	0.19051	0.3047	-0.46161	0.27166	-0.17419	0.12702	-0.55181	-0.24419	-0.079305	-0.60114	-0.31494	0.15926	-0.64832	-0.34862	0.49457	-0.07585	-0.80781	0.2582	-0.41091	-0.43544	1.3099	-0.26892	3.313	0.76387	-0.21128	0.49969	0.87288	0.0079785	-0.86466	-0.011865	0.21127	-0.30389	-0.26487	0.1109	0.4283	-0.40687	-0.21895	-0.029003	0.37408	0.59058	-0.049121	-0.33251	-0.21415	-0.55565	-0.71319	-0.20999	-0.3056	-0.20266	3.452	1.649	0.45897	0.011177	-0.066055	2.7797	-0.30236	-0.1868	3.2385	-0.51088	-0.6829	-0.32646	0.24646	0.51369	-0.065709	-0.30597	0.11691	-0.31106
Cotinine_methonium_ion	-0.36573	-0.53647	-0.49039	-0.50597	-0.28085	-0.75026	-0.48659	-0.69122	-0.98102	-0.81066	-0.99163	-0.47262	-0.90013	-0.69028	-0.75687	-0.72936	-0.86456	-0.90377	-1.4704	-0.72291	-0.47426	-0.93054	-0.71313	-0.79461	-0.82466	-0.62935	-0.91223	-1.1096	-0.17857	-1.0721	-0.29586	-0.63551	-0.81309	-0.44087	-0.70836	-0.62519	-0.47003	-0.75815	-0.88213	-0.71325	-0.64212	-0.21122	-0.50942	-0.65801	0.9971	-0.6202	-1.3625	-0.36826	-0.30827	-0.68007	-0.63458	-1.1369	-1.4909	-0.97685	-0.89757	-0.58243	-0.796	0.98144	0.44202	-0.81738	-0.51834	-0.67263	-0.73712	-0.83132	-1.2929	-0.69321	-0.89837	-0.24167	-0.34465	-0.82218	-0.73518	-0.44005	-0.32694	-0.50537	-0.47517	-0.62787	-1.0006	-0.32888	-0.68713	-0.92509	-0.44365	-0.61664	-0.79673	-0.39799	0.62019	1.8432	1.6676	-0.68629	-1.21	-0.17898	-0.90341	-0.6979
Hexuronate	-0.35609	3.642	2.9946	3.7136	-0.68572	3.6657	0.88524	0.83201	1.7845	0.62484	0.32411	-0.48697	0.54809	-0.13993	-0.29333	0.12879	2.4846	0.70524	1.3032	-0.82692	-0.98146	-0.92711	-0.20996	0.37088	0.68799	1.9534	2.6549	-0.41675	0.055555	-0.24968	-0.12097	1.3094	0.99395	0.83193	-0.13588	5.0079	0.70279	0.084989	-0.33283	0.87234	-0.10593	-0.2034	1.6476	1.5801	-0.64526	0.06734	-0.35874	-0.16255	1.5167	2.0091	1.1429	2.4346	2.9696	-0.36663	0.69555	2.8314	2.9629	-0.27226	0.14052	0.1666	-0.32192	2.8733	-0.23521	6.2382	2.0648	2.1304	1.981	1.2764	-0.26824	0.44864	0.51561	1.3592	-0.39297	-0.19592	1.2066	1.0732	0.45897	0.43268	0.24841	0.92404	0.46257	-0.23771	0.054726	-0.33533	-0.25375	-0.4436	-0.44659	-0.29881	1.2382	-0.2204	1.0407	0.71403
Salicyluric_acid	-0.26236	-0.32578	0.19486	-0.30825	-0.4407	-0.88107	-0.50616	-0.10998	-0.065297	0.36996	0.057671	-0.18472	-0.39872	0.18217	-0.37305	-0.37384	-0.14226	-0.19341	0.023437	-0.7254	-0.25265	-0.88875	0.012771	-0.094273	-0.25795	-0.23029	-0.62221	-1.0639	0.44025	-0.034723	0.31314	-0.13575	0.18575	-0.37505	0.6672	-0.019928	0.25072	-0.1254	-0.01245	0.10242	-0.11478	-0.011099	-0.27137	0.13133	-0.56172	-0.47723	-0.74642	-0.27563	0.25839	-0.26914	0.0057087	0.20825	-0.022366	0.55372	-0.28654	-0.24815	0.2958	-0.30461	-0.26487	-0.13628	0.55739	0.06729	-0.46782	0.50945	0.55252	0.21274	0.20785	-0.22046	-0.27756	-0.05752	0.013107	-0.066859	0.80904	-0.10184	0.4215	-0.28409	-0.4749	-0.1517	-0.2448	-0.18892	-0.32742	-0.28591	-0.31695	0.56103	-0.37699	-0.34831	-0.57168	-0.32386	-0.65032	-0.44673	-0.1222	-0.22125
"1,3-Dimethyluric_acid"	-0.077891	-0.50888	-0.45463	-0.34769	-0.30747	1.342	-0.68915	-0.33878	-0.24106	-1.4107	-0.78099	-0.17344	-0.21914	-0.64687	-0.52429	-0.43677	-0.27643	0.29133	-0.64422	0.21427	-0.23834	0.23556	-0.21446	-0.11123	-0.011879	-0.20027	-0.65085	-0.17686	-0.57199	-0.24477	-0.10698	-0.051429	-0.50797	-0.36625	-0.30329	-0.56711	-0.2995	0.13164	-0.43185	-0.37999	-0.32902	-0.16741	-0.29212	-0.29625	-0.61316	-0.59151	-0.21823	-0.11187	-0.52602	-0.2972	-0.49261	0.35188	-0.15416	-0.55901	-0.12136	-0.28601	-0.053067	-0.42581	-0.33698	-0.47978	-0.47455	-0.62187	-0.48806	-0.44091	-0.26127	-0.47522	-0.30029	-0.43722	-0.32794	-0.24742	-0.13279	-0.29375	0.79599	-0.094509	0.0034907	-0.2059	-0.6197	-0.018123	-0.33888	0.15671	-0.18776	-0.25895	-0.087013	-0.37919	-0.60056	-0.52603	-0.7168	-0.46633	1.1023	0.52761	0.63756	-0.36244
N-(4-hydroxyphenyl)ethoxycarbothioamide	-0.093717	-0.39217	-0.45243	-0.40353	-0.066032	-0.1645	-0.54435	-0.31981	-0.45012	-0.028255	-0.21859	-0.22042	-0.39384	-0.4902	-0.39518	-0.30075	-0.39263	-0.024784	0.023437	-0.34771	-0.62532	-0.33238	-0.37314	-0.43541	-0.29663	-0.57763	-0.55471	-0.74174	-0.29885	0.76243	0.25307	-0.10212	-0.62992	-0.33528	-0.33164	-0.54847	-0.47116	-0.458	-0.37667	-0.34091	-0.2564	-0.10277	-0.19861	-0.4791	0.28699	-0.25843	-0.50726	-0.21976	-0.31306	-0.38165	-0.45871	0.18147	-0.56305	-0.10716	-0.17664	-0.34799	-0.38918	0.59814	0.1924	-0.11779	-0.30718	-0.44626	-0.031456	-0.5372	-0.31595	-0.50462	-0.52372	-0.35978	-0.076084	-0.25622	-0.1768	-0.44115	-0.13891	-0.2487	-0.43516	-0.26811	-0.34673	-0.17156	0.05725	-0.50611	-0.22744	-0.041553	-0.17476	-0.22289	-0.35115	0.86498	0.35081	0.45437	-0.1284	-0.012356	-0.3433	-0.14201
Acetyl-His	0.20146	-0.40665	-0.49502	-0.44101	0.82429	-0.30345	-0.74155	-0.55546	-0.94924	0.36996	1.0508	-0.077721	2.3492	-0.57033	-0.477	-0.64876	-0.072624	-0.75989	0.023437	-0.00192	0.38552	-0.87015	-0.89471	-0.83033	-1.0236	-0.85538	-0.50231	0.24793	0.62217	2.0894	-0.032618	-0.80041	0.23984	-0.1672	-0.69043	-0.31578	-1.0772	-0.73987	-0.21468	-0.72779	0.34911	0.17825	0.36856	-0.65031	4.2619	-0.32599	-1.0507	-0.4752	-0.62876	-0.30671	-0.43903	-0.95723	-0.54519	0.31142	-0.28206	-0.45558	-0.87731	3.1036	1.9517	0.79547	-0.040091	0.14709	-0.34117	0.58161	-0.50873	-0.23702	-0.82191	0.10172	0.38639	-0.45806	-0.48664	-0.29524	-0.37767	-0.46104	-0.53993	0.020739	0.18812	-0.25414	-0.63338	-0.82789	-0.87599	-0.15974	2.0334	-0.17486	2.5504	4.3915	3.2785	0.66697	-0.42937	1.9342	-0.39597	0.32149
3-Dechloroethylifosfamide	-0.27517	0.39197	0.98674	2.3912	0.97607	-0.71787	2.0976	-0.12363	1.016	-0.028255	1.2756	-0.34073	0.74002	2.4319	0.91827	0.2379	0.030874	0.99857	1.3032	-1.2689	-1.2467	-1.86	4.5504	0.32545	1.3465	0.61801	-0.016297	-1.2338	2.9524	0.24468	-0.21491	0.6621	1.4887	-0.10957	-0.045746	0.82752	1.3174	0.39526	0.84683	2.2996	1.0937	-0.18628	0.90568	2.2471	-0.37269	0.12128	-0.20413	-0.12351	2.5619	-0.049433	1.2972	2.5312	0.41811	2.5769	2.1018	0.6122	3.2582	-0.27406	-0.12992	0.21334	1.0716	0.99601	-0.27588	0.085932	2.9956	2.8535	1.7068	0.80338	1.8354	2.2301	2.6488	1.979	-0.20128	-0.25353	2.8337	0.29236	0.43109	-0.086663	0.82005	1.6232	1.0988	0.56642	-0.22496	1.1075	0.31963	-0.37569	-0.087078	0.60235	1.5298	0.91608	2.7499	1.3378
Vanillylmandelic_acid	-0.147	-0.53691	-0.48558	-0.30448	-0.37228	-0.13393	-0.38582	-0.49887	-0.45697	0.62484	0.18738	-0.63664	-0.59169	-0.37194	-0.44014	-0.51745	-0.1677	-0.91616	0.55199	-0.31632	0.33421	-0.24849	-0.81752	-1.1382	-0.8171	-0.95069	-0.68226	1.7076	0.95681	0.34624	-0.089826	-0.53761	0.99449	-0.28698	-0.3845	-0.86045	-1.2705	-0.69966	-1.1139	-0.76252	1.7298	-0.20341	1.5467	-0.68685	1.1421	-0.85728	-0.65121	-0.30788	-0.57521	-0.61137	-0.77515	-0.94385	0.55123	0.29436	1.6576	-0.75444	-0.5434	0.3613	0.22605	1.2861	-0.27981	1.648	-0.23869	0.35979	-0.36864	0.85645	-0.39444	-0.46783	-0.25451	-0.89067	-0.97479	-0.29639	0.43843	-0.23428	-0.60517	-0.49518	-0.88891	-0.34436	-0.66621	-0.92666	-0.052084	-0.17093	4.3478	0.82597	2.0376	-0.34543	-0.15497	-0.2842	-0.26674	0.22431	-0.66767	0.46773
Mimosine	0.13707	-0.45601	-0.38474	-0.61538	-0.66315	0.013251	-0.75692	0.26911	-0.08517	2.1174	-0.65899	0.095095	-0.28373	-0.29362	-0.42384	-0.2325	-0.10519	0.25056	1.3032	0.289	0.18459	0.069209	-0.74292	0.52686	0.27761	0.029853	-0.035126	0.67981	-0.21292	0.094282	-0.22588	-0.18863	-0.6705	-0.20878	-0.24217	-0.41606	-0.23374	-0.31772	0.15183	0.57804	-0.53008	-0.15929	-0.14914	-0.12612	-0.10524	-0.13066	0.49718	-0.095538	-0.13925	-0.43976	-0.48034	-0.27918	-0.30909	-0.19332	-0.38556	-0.27362	0.069289	-0.14735	-0.23329	-0.54146	-0.069517	-0.642	0.087595	-0.2789	-0.045742	-0.7443	-0.3641	-0.49827	-0.12991	-0.329	-0.07439	-0.21461	-0.39006	0.53107	-0.1258	-0.2463	0.062835	-0.16959	-0.038662	0.19413	-0.18575	0.13333	-0.070374	-0.14823	-0.18537	-0.25728	-0.48463	0.31257	-0.3118	-0.076972	0.31555	-0.020708
(S)-Isowillardiine	0.81855	-0.24686	-0.45853	1.3698	0.61179	-0.62468	4.1244	-0.4674	2.1739	-0.81066	0.92628	0.47277	2.886	-0.47559	0.87038	-0.39708	0.02861	0.17164	-0.87949	-0.26079	-0.14448	-0.41803	1.4311	1.0902	5.8468	0.047006	2.3992	-1.5641	-0.27181	3.8399	0.58898	-0.39788	4.1433	0.67892	-0.32327	-0.10476	0.35191	-0.059103	2.0623	0.74316	1.5676	-0.18459	0.43169	0.051034	-0.17609	0.27376	1.8408	-0.18428	0.033092	0.41864	0.0952	-0.52108	0.73678	0.4455	6.0185	0.98633	0.9046	2.4012	2.5951	1.8401	-0.13825	0.94603	2.1274	1.04	0.69029	-0.037317	0.22344	1.55	-0.25006	1.0669	1.6559	1.0346	2.0016	-0.30483	1.2066	1.734	1.0556	0.028215	0.63244	0.62294	2.3373	-0.25002	-0.55235	0.019949	-0.26541	0.69192	3.4701	-0.28347	-0.095606	0.24115	-0.23275	0.061705
N-acetyl-L-2-aminoadipate(2-)	0.18237	-0.46785	-0.49111	-0.43615	0.28973	-0.082167	-0.86666	-0.54502	-0.96112	0.36996	0.85098	-0.47905	-0.27268	-0.61714	-0.48286	-0.62887	-0.36136	-0.95087	1.3032	-0.65736	0.99234	-0.58809	-0.86627	-0.97048	-1.0461	-0.84663	-0.49635	0.84776	0.7482	2.3847	-0.14382	-0.60992	0.46287	-0.35648	-0.45134	0.011566	-1.1525	-0.76648	-0.74809	-0.6445	-0.27081	-0.11865	1.7176	-0.68917	5.869	-0.62204	-0.70049	-0.47287	-0.34006	-0.61815	-0.61795	-1.0237	-0.0056887	0.69208	0.3175	-0.70865	-0.70549	3.4521	1.9448	0.71537	0.096909	0.73427	-0.54493	0.12999	0.1792	-0.6615	-0.70094	0.79721	-0.1765	-0.71601	0.63135	-0.30113	-0.20326	-0.35909	-0.17238	-0.43137	0.70431	-0.30827	-0.68938	-0.50547	-0.95928	-0.036745	5.9256	1.3201	1.9516	3.7021	3.3676	-0.12532	-0.55473	1.2413	-0.63171	0.4644
Chlorphenesin	-0.60784	-0.51124	-0.48282	-0.44101	-0.10359	-0.47129	-0.45338	-0.50573	-0.70039	-0.48764	-0.66969	-0.31166	-0.37974	-0.59932	-0.62265	-0.55734	-0.65719	-0.23884	1.3032	-0.060857	0.06156	-0.11117	-0.75038	-0.38627	-0.57036	-0.48171	-0.80431	-0.72925	-0.4326	-0.23061	-0.23305	-0.41931	-0.10179	-0.26376	-0.58423	-0.72874	-0.34271	-0.41301	-0.43185	-0.67827	-0.39038	-0.19691	0.46741	-0.51038	0.61611	-0.39153	0.2236	-0.38836	-0.41167	-0.49651	0.19441	-0.51457	-0.62556	-0.44915	-0.0036778	-0.45251	-0.45717	0.21037	-0.023942	-0.61111	-0.53955	-0.4442	-0.53598	-0.53196	-0.55787	-0.52805	-0.63865	-0.40838	-0.43915	-0.65663	-0.57906	-0.48212	-0.25453	-0.35824	0.51268	-0.16966	-0.44526	-0.20283	-0.39938	0.20772	-0.054476	-0.32766	-0.68461	-0.6027	1.0857	0.028501	0.065983	-0.76128	-0.63703	-0.8378	-0.89876	-0.43877
(2-Naphthalenyloxy)acetic_acid	-0.42461	0.11393	-0.24629	-0.37524	0.37388	1.0664	1.25	0.24226	0.82817	-0.48764	2.0209	-0.43662	-0.30957	1.5211	2.8669	0.73872	2.267	0.75377	0.023437	-0.39988	-0.10221	-0.75821	0.15846	2.6042	0.10716	2.0857	1.3386	0.55086	0.026439	0.38764	-0.27178	0.10417	1.4374	0.4117	-0.08781	-0.11076	1.2286	-0.068819	1.3281	0.582	2.043	-0.21238	-0.26464	0.72708	-0.26782	0.97654	1.5818	-0.30233	-0.68977	-0.14442	1.135	-0.12605	-0.51355	-0.0064261	0.3333	0.17002	-0.11001	-0.36986	-0.16719	-0.35186	-0.16904	0.99978	0.33469	0.71809	0.13809	0.49377	0.94223	0.19505	0.10959	0.69336	0.85446	0.53424	-0.34789	-0.27769	-0.69362	-0.47521	1.0696	0.12634	-0.059251	-0.14472	0.40726	0.74433	0.87832	-0.32841	-0.47241	-0.24241	0.26482	-0.28061	0.73027	-0.47697	-0.15855	0.027181
Alanyl-Hydroxyproline	-0.56662	-0.50478	-0.46081	-0.44376	-0.68637	-0.20937	-0.24027	-0.44223	-0.8377	-0.36162	-0.052536	-0.46719	-0.34198	-0.60279	-0.66746	-0.51574	-0.65399	-0.37098	-0.87949	1.6215	1.6185	2.1902	-0.30233	-0.68598	-0.76795	-0.69233	-0.57918	1.1735	-0.78221	-0.43214	-0.061878	-0.55923	-0.54069	-0.39069	-0.23057	-0.31113	-0.56012	-0.31488	-0.56462	-0.077019	-0.66644	-0.19903	-0.96956	-0.65551	-0.68979	-0.76392	0.525	-0.038667	-0.67908	-0.40758	-0.46664	-1.0328	-0.45308	-0.97512	-1.3809	-0.65401	-0.80153	-0.48283	-0.38908	-0.77716	-0.49956	-0.96951	-0.80019	-0.89521	-1.2218	-0.68422	-0.86095	-0.66587	-0.51658	-1.0446	-1.2032	-0.60434	-0.21612	-0.36558	-0.49831	-0.40642	-0.79966	-0.20048	-0.70089	-0.60381	-0.89529	-0.61923	-0.55679	-0.41327	-1.2331	-0.53716	-0.62635	-0.86881	-0.77105	-1.1054	-0.81737	-0.8077
Alanyl-Isoleucine	-0.3992	-0.44596	-0.46179	-0.41962	-0.47157	0.04446	-0.58057	-0.53299	-0.17325	0.8845	-0.62138	-0.071393	-0.053945	-0.70183	-0.40436	-0.44291	-0.42293	-0.64596	1.3032	-0.11268	-0.037704	0.37005	-0.32792	-0.24741	-0.23466	-0.81131	-0.40558	0.041352	-0.20559	-0.25201	-0.22451	-0.039402	-0.54308	-0.35495	-0.41816	-0.44695	-0.25808	-0.21719	-0.20031	-0.52059	-0.53693	-0.10609	-0.59831	-0.37674	-0.51128	-0.43078	0.023429	0.00060494	-0.52807	-0.4189	-0.46016	-0.10261	0.068479	-0.36193	0.079679	-0.47048	-0.28292	-0.41176	-0.23688	-0.19761	0.10271	-0.32477	-0.0065854	-0.15902	-0.25664	-0.39786	-0.63146	-0.56668	-0.25519	-0.44545	-0.16842	-0.38258	-0.26094	-0.094978	-0.6706	-0.62249	0.35926	-0.17552	-0.042288	-0.73768	-0.1775	-0.38079	0.10699	-0.26542	0.14991	-0.48745	-0.53617	-0.058062	0.014384	-0.18518	0.012794	-0.36504
